Section;h[mm];t[mm];r1[mm];r2[mm];r3[mm];r4[mm];A[cm2];ey[mm];ez[mm];Iy[cm4];Iyz[cm4];Iu[cm4];Iv[cm4];Ip[cm4];Ip,SC[cm4];α[deg];iy[mm];iyz[mm];iu[mm];iv[mm];ip[mm];ip,SC[mm];max Sy[cm3];max Su[cm3];max Sv[cm3];Wy,min[cm3];Wy,max[cm3];Wv,min[cm3];Wv,max[cm3];Wy[cm3];Wu[cm3];Wv[cm3];Wy,cat[cm3];Ay[cm2];Au[cm2];Av[cm2];ySC[mm];It[cm4];Wt[cm3];max ω[cm2];Iω[cm6];iω[mm];Wω[cm4];max Sω[cm4];rv[mm];ru,SC[mm];Wpl,y[cm3];Wpl,y,pure[cm3];Wpl,u[cm3];Wpl,v[cm3];αpl,y;αpl,y,pure;αpl,u;αpl,v;Apl,y[cm2];Apl,u[cm2];Npl[kN];Vpl,y[kN];Vpl,u[kN];Mpl,y[kNm];Mpl,u[kNm];Mpl,v[kNm];ypl[mm];zpl[mm];upl[mm];vpl[mm];Nu[kN];G[kg/m];Am[m2/m];V[cm3/m];Am/V[1/m]
L 250x250x30;250,00;30,00;18,00;9,00;9,00;3,00;141,00;73,00;177,00;8087,00;4747,00;12830,00;3340,00;16170,00;25685,79;-45,00;75,70;58,00;95,40;48,70;107,10;135,00;463,43;580,90;147,04;-358,52;462,43;-327,30;367,15;358,52;741,41;327,30;457,00;44,08;62,43;59,03;-58,00;405,99;135,33;0,00;0,00;0,00;0,00;0,00;167,90;331,90;829,87;686,25;1173,09;593,70;2,32;1,91;1,58;1,81;70,50;99,70;3313,04;956,53;1352,73;195,02;273,02;139,04;-44,70;44,70;0,20;0,00;3313,04;110,70;0,98;14100,00;69,50
L 250x250x31;250,00;31,00;18,00;9,00;9,00;3,00;145,40;73,40;176,60;8313,00;4874,00;13190,00;3439,00;16629,00;26392,63;-45,00;75,60;57,90;95,30;48,60;106,90;134,70;477,08;597,95;151,37;-368,93;473,67;-335,25;377,30;368,93;762,21;335,25;470,80;45,52;64,63;60,98;-57,90;446,34;143,98;0,00;0,00;0,00;0,00;0,00;167,00;330,80;854,80;706,11;1207,16;611,48;2,32;1,91;1,58;1,82;72,69;102,81;3416,21;986,31;1394,85;200,88;281,04;143,21;-44,20;44,20;0,20;0,00;3416,21;114,10;0,98;14540,00;67,40
L 250x250x32;250,00;32,00;18,00;9,00;9,00;3,00;149,70;73,80;176,20;8536,00;4998,00;13540,00;3538,00;17078,00;27089,88;-45,00;75,50;57,80;95,10;48,60;106,80;134,50;490,61;614,84;155,66;-379,29;484,80;-343,13;387,41;379,29;782,44;343,13;484,40;46,96;66,88;62,87;-57,80;489,16;152,86;0,00;0,00;0,00;0,00;0,00;166,20;329,70;879,56;725,78;1240,92;629,15;2,32;1,91;1,59;1,83;74,88;105,90;3518,90;1015,95;1436,77;206,70;288,98;147,35;-43,70;43,70;0,20;0,00;3518,90;117,50;0,98;14970,00;65,46
L 250x250x33;250,00;33,00;18,00;9,00;9,00;3,00;154,10;74,20;175,80;8757,00;5121,00;13880,00;3636,00;17516,00;27777,63;-45,00;75,40;57,60;94,90;48,60;106,60;134,30;504,02;631,58;159,92;-389,54;495,69;-350,84;397,36;389,54;802,09;350,84;498,00;48,40;69,12;64,71;-57,70;534,52;161,97;0,00;0,00;0,00;0,00;0,00;165,40;328,60;904,16;745,27;1274,37;646,71;2,32;1,91;1,59;1,84;77,05;108,97;3621,13;1045,46;1478,51;212,48;296,84;151,46;-43,20;43,20;0,30;0,00;3621,13;121,00;0,98;15410,00;63,60
L 250x250x34;250,00;34,00;18,00;9,00;9,00;3,00;158,40;74,50;175,50;8975,00;5241,00;14220,00;3734,00;17954,00;28455,95;-45,00;75,30;57,50;94,70;48,60;106,50;134,00;517,31;648,16;164,14;-399,74;506,49;-358,48;407,26;399,74;821,73;358,48;511,50;49,83;71,33;66,57;-57,50;582,46;171,31;0,00;0,00;0,00;0,00;0,00;164,50;327,20;928,59;764,57;1307,51;664,18;2,32;1,91;1,59;1,85;79,22;112,03;3722,88;1074,84;1520,05;218,22;304,64;155,56;-42,70;42,70;0,30;0,00;3722,88;124,30;0,98;15840,00;61,87
L 250x250x35;250,00;35,00;18,00;9,00;9,00;3,00;162,70;74,90;175,10;9191,00;5359,00;14550,00;3832,00;18382,00;29124,94;-45,00;75,20;57,40;94,60;48,50;106,30;133,80;530,47;664,59;168,33;-409,90;517,18;-366,05;417,11;409,90;840,80;366,05;524,90;51,27;73,63;68,39;-57,40;633,05;180,87;0,00;0,00;0,00;0,00;0,00;163,70;326,10;952,86;783,68;1340,35;681,54;2,33;1,91;1,59;1,86;81,37;115,08;3824,17;1104,07;1561,40;223,92;312,36;159,63;-42,30;42,30;0,30;0,00;3824,17;127,70;0,98;16270,00;60,23
L 300x300x25;300,00;25,00;18,00;12,00;12,00;15,00;142,70;83,60;216,40;12150,00;7220,00;19370,00;4930,00;24300,00;38674,18;-45,00;92,30;71,10;116,50;58,80;130,50;164,60;569,68;718,58;180,12;-445,69;619,64;-439,96;462,60;445,69;935,02;439,96;561,10;44,46;62,35;60,03;-71,10;291,28;116,51;0,00;0,00;0,00;0,00;0,00;213,00;413,80;1020,37;855,93;1462,09;735,19;2,29;1,92;1,56;1,67;71,87;101,65;3353,93;975,18;1379,11;239,79;337,73;169,82;-59,50;59,50;0,00;0,00;3353,93;112,00;1,17;14270,00;81,99
L 300x300x26;300,00;26,00;18,00;12,00;12,00;15,00;148,20;84,00;216,00;12590,00;7475,00;20060,00;5115,00;25175,00;40056,65;-45,00;92,20;71,00;116,30;58,70;130,40;164,40;590,99;745,24;186,85;-462,26;639,74;-454,23;479,27;462,26;968,33;454,23;582,50;46,23;64,95;62,34;-71,00;326,69;125,65;0,00;0,00;0,00;0,00;0,00;211,90;412,50;1058,63;887,08;1515,37;762,35;2,29;1,92;1,57;1,68;74,62;105,53;3482,94;1012,42;1431,78;248,78;350,26;176,18;-59,00;59,00;0,00;0,00;3482,94;116,30;1,17;14820,00;78,95
L 300x300x27;300,00;27,00;18,00;12,00;12,00;15,00;153,70;84,40;215,60;13020,00;7726,00;20750,00;5294,00;26044,00;41424,10;-45,00;92,00;70,90;116,20;58,70;130,10;164,20;612,16;771,71;193,53;-478,35;658,92;-467,84;495,31;478,35;1001,63;467,84;603,50;47,95;67,44;64,70;-70,90;364,79;135,11;0,00;0,00;0,00;0,00;0,00;210,90;411,20;1096,66;917,99;1568,26;789,35;2,29;1,92;1,57;1,69;77,35;109,40;3611,49;1049,53;1484,26;257,72;362,70;182,51;-58,50;58,50;0,10;0,00;3611,49;120,70;1,17;15370,00;76,12
L 300x300x28;300,00;28,00;18,00;12,00;12,00;15,00;159,10;84,80;215,20;13450,00;7975,00;21420,00;5475,00;26895,00;42776,63;-45,00;91,90;70,80;116,00;58,70;130,00;164,00;633,19;797,98;200,17;-494,54;678,17;-481,51;511,48;494,54;1033,98;481,51;624,60;49,71;70,04;66,98;-70,80;405,64;144,87;0,00;0,00;0,00;0,00;0,00;210,00;409,90;1134,47;948,67;1620,77;816,21;2,29;1,92;1,57;1,70;80,08;113,25;3739,56;1086,50;1536,55;266,60;375,05;188,81;-57,90;57,90;0,10;0,00;3739,56;124,90;1,17;15910,00;73,54
L 300x300x29;300,00;29,00;18,00;12,00;12,00;15,00;164,60;85,20;214,80;13870,00;8220,00;22090,00;5650,00;27740,00;44114,35;-45,00;91,80;70,70;115,90;58,60;129,80;163,70;654,07;824,07;206,77;-510,26;696,53;-494,53;527,03;510,26;1066,32;494,53;645,20;51,42;72,50;69,29;-70,70;449,35;154,95;0,00;0,00;0,00;0,00;0,00;209,00;408,40;1172,05;979,12;1672,89;842,91;2,30;1,92;1,57;1,70;82,80;117,09;3867,17;1123,34;1588,64;275,43;387,31;195,07;-57,40;57,40;0,10;0,00;3867,17;129,20;1,17;16460,00;71,08
L 300x300x30;300,00;30,00;18,00;12,00;12,00;15,00;170,00;85,60;214,40;14290,00;8462,00;22750,00;5828,00;28578,00;45437,37;-45,00;91,70;70,60;115,70;58,60;129,70;163,50;674,81;849,96;213,33;-526,14;715,09;-507,71;542,79;526,14;1098,18;507,71;666,00;53,16;75,08;71,58;-70,60;495,99;165,33;0,00;0,00;0,00;0,00;0,00;208,10;407,20;1209,41;1009,33;1724,63;869,48;2,30;1,92;1,57;1,71;85,50;120,92;3994,30;1160,04;1640,55;284,21;399,48;201,30;-56,90;56,90;0,10;0,00;3994,30;133,40;1,17;17000,00;68,82
L 300x300x31;300,00;31,00;18,00;12,00;12,00;15,00;175,40;85,90;214,10;14700,00;8701,00;23400,00;5999,00;29399,00;46745,81;-45,00;91,60;70,40;115,50;58,50;129,50;163,30;695,41;875,66;219,84;-541,48;732,64;-520,17;557,84;541,48;1129,55;520,17;686,30;54,85;77,51;73,85;-70,40;545,64;176,01;0,00;0,00;0,00;0,00;0,00;207,10;406,00;1246,56;1039,32;1775,99;895,89;2,30;1,92;1,57;1,72;88,19;124,73;4120,97;1196,61;1692,26;292,94;411,56;207,49;-56,40;56,40;0,10;0,00;4120,97;137,70;1,17;17540,00;66,71
L 300x300x32;300,00;32,00;18,00;12,00;12,00;15,00;180,70;86,30;213,70;15120,00;8936,00;24050,00;6184,00;30234,00;48039,76;-45,00;91,50;70,30;115,40;58,50;129,40;163,10;715,86;901,17;226,32;-557,73;751,73;-533,73;574,13;557,73;1160,93;533,73;707,20;56,65;80,34;76,16;-70,30;598,39;187,00;0,00;0,00;0,00;0,00;0,00;206,20;404,80;1283,48;1069,08;1826,97;922,17;2,30;1,92;1,57;1,73;90,88;128,52;4247,16;1233,04;1743,78;301,62;423,55;213,65;-55,90;55,90;0,20;0,00;4247,16;141,80;1,17;18070,00;64,75
L 300x300x33;300,00;33,00;18,00;12,00;12,00;15,00;186,10;86,70;213,30;15520,00;9169,00;24690,00;6351,00;31041,00;49319,33;-45,00;91,30;70,20;115,20;58,40;129,10;162,80;736,16;926,49;232,75;-572,70;768,50;-545,63;588,68;572,70;1191,82;545,63;727,20;58,33;82,73;78,44;-70,20;654,31;198,27;0,00;0,00;0,00;0,00;0,00;205,30;403,60;1320,20;1098,61;1877,57;948,31;2,31;1,92;1,58;1,74;93,56;132,31;4372,89;1269,33;1795,10;310,25;435,45;219,78;-55,40;55,40;0,20;0,00;4372,89;146,10;1,17;18610,00;62,87
L 300x300x34;300,00;34,00;18,00;12,00;12,00;15,00;191,40;87,10;212,90;15930,00;9398,00;25320,00;6532,00;31852,00;50584,64;-45,00;91,20;70,10;115,00;58,40;129,00;162,60;756,33;951,62;239,14;-588,57;786,81;-558,63;604,48;588,57;1222,23;558,63;747,70;60,12;85,53;80,71;-70,10;713,47;209,84;0,00;0,00;0,00;0,00;0,00;204,40;402,40;1356,70;1127,91;1927,79;974,32;2,31;1,92;1,58;1,74;96,22;136,08;4498,14;1305,49;1846,24;318,82;447,26;225,88;-54,90;54,90;0,20;0,00;4498,14;150,20;1,17;19140,00;61,13
L 300x300x35;300,00;35,00;18,00;12,00;12,00;15,00;196,70;87,40;212,60;16320,00;9624,00;25950,00;6696,00;32646,00;51835,79;-45,00;91,10;69,90;114,90;58,30;128,80;162,30;776,35;976,57;245,48;-603,22;802,94;-570,07;618,64;603,22;1252,65;570,07;767,40;61,78;87,92;83,01;-69,90;775,97;221,70;0,00;0,00;0,00;0,00;0,00;203,50;401,00;1392,99;1156,99;1977,63;1000,18;2,31;1,92;1,58;1,75;98,87;139,83;4622,93;1341,51;1897,18;327,35;458,99;231,94;-54,30;54,30;0,20;0,00;4622,93;154,40;1,17;19670,00;59,48
